Disco Elysium - The Final Cut,"
Comedy, Crime, Drama            ",2021,None,"
You're a detective with a unique skill system at your disposal and a whole city to carve your path across. Interrogate unforgettable characters, crack murders or take bribes. Become a hero or an absolute disaster of a human being.",458,"Stars:
Lenval Brown, 
Mikee W. Goodman, 
Jullian Champenois, 
Tegen Hitchens",9.3
NieR Replicant: ver.1.22474487139...,"
Action, Adventure, Drama            ",2021,"Directors:
Yoko Taro, 
Saki Ito","
In the far distant future, humanity is on the brink of extinction. A black scrawl disease and strange beasts threaten the world. A kind-hearted young boy makes a promise to his little ...                See full summary »
",452,"Stars:
Barbara Goodson, 
Ben Lepley, 
Ben Pronsky, 
Brad Venable",8.6
Death Stranding Director's Cut,"
Action, Adventure, Drama            ",2021,"Director:
Hideo Kojima","
Sam Porter Bridges' mission is to journey across a post apocalyptic United States of America in order to reconnect the country and protect itself from dangerous entities called Beached ...                See full summary »
",434,None,9.1
The Artful Escape,"
Adventure, Music, Sci-Fi            ",2021,"Directors:
Johnny Galvatron, 
Ashley Lambert","
A kid living in the shadow of his once great and famous uncle must go on a galactic journey of music and self discovery to become his own version of a legend.",408,"Stars:
Michael Johnston, 
Caroline Kinley, 
Carl Weathers, 
Lena Headey",7.9
Alan Wake Remastered,"
Action, Horror, Mystery            ",2021,"Director:
Petri Järvilehto","
Alan Wake Remastered is a remastered version of the original Alan Wake (2012 PC version).",399,"Stars:
Matthew Porretta, 
Lloyd Floyd, 
Geoffrey Cantor, 
James McCaffrey",8.1
Outriders,"
Action, Adventure, Sci-Fi            ",2021,"Director:
Bartosz Kmita","
Humanity's efforts to colonize the alien planet Enoch went astray as the expedition team encountered a massive energy storm, known as ""The Anomaly"". These survivors must discover what's happened to them and humanity.",390,"Stars:
Dusan Dukic, 
Mylène Dinh-Robic, 
Marcel Jeannin, 
Dmitry Chepovetsky",6.7
Poketto monsutâ Buririanto daiyamondo,"
Action, Adventure, Fantasy            ",2021,"Director:
Junichi Masuda","
Experience the nostalgic story from the Pokémon Diamond Version game in a reimagined adventure, Pokémon Brilliant Diamond, now on the Nintendo Switch system! Adventures in the Pokémon ...                See full summary »
",370,"Stars:
Ikue Ôtani, 
Aoi Yûki",7.5
Poketto monsutâ Shainingu pâru,"
Action, Adventure, Fantasy            ",2021,"Director:
Junichi Masuda","
Experience the nostalgic story from the Pokémon Pearl Version game in a reimagined adventure, Pokémon Shining Pearl, now on the Nintendo Switch system! Adventures in the Pokémon Shining ...                See full summary »
",335,"Stars:
Ikue Ôtani, 
Aoi Yûki",7.6
Toca Life: World,"
Animation            ",2021,"Director:
Javier Rodríguez Macpherson","
        Add a Plot
",286,"Star:
Sean Watson",6.9
Lost Judgment,"
Action, Comedy, Crime            ",2021,"Directors:
Yutaka Ito, 
Toshihiro Nagoshi","
A dark mystery unfolds as Takayuki Yagami must investigate a defendant with the improbable act of committing two crimes in different places at the same time, an act that will force him to question the balance of law and justice.",284,"Stars:
Takuya Kimura, 
Kôji Yamamoto, 
Hiroshi Tamaki, 
Ken Mitsuishi",8.6
Teiruzu obu Araizu,"
Action, Adventure, Fantasy            ",2021,"Director:
Hirokazu Kagawa","
Rena's superior technological and magical advancement cause it to hold power over Dahna, taking its resources and treating its people as slaves.",277,"Stars:
Takuya Sato, 
Shino Shimoji, 
Sayuri Hara, 
Yoshitsugu Matsuoka",8.2
eFootball 2022,"
Sport            ",2021,None,"
In this game, you will be able to choose your favorite players and managers that will form your dream team. Select a manager that applies your favorite formation and tactics, train your ...                See full summary »
",252,None,2.4
Biomutant,"
Action, Adventure, Fantasy            ",2021,None,"
Players take control of a raccoon-like creature in a world filled with mutated animals to bring down a plague ruining the land, with your actions and choices determining how the story ends.",249,"Stars:
David Shaw Parker, 
Alix Wilton Regan, 
Alex Jordan",5.8
Road 96,"
Adventure            ",2021,"Director:
Yoan Fanise","
Hitchhike your way to freedom in this crazy procedural-generated road trip, taking place during Summer 1996 in the authoritarian nation of Petria.",230,"Stars:
Adi Alfa, 
Mikee W. Goodman, 
Ryan Highley, 
Mark Kaczmarek",7.6
Jurassic World Evolution 2,"
Adventure, Family, Sci-Fi            ",2021,None,"
Jurassic World Evolution 2 is the highly anticipated sequel to Jurassic World Evolution, Frontier's 2018 hit game, and further develops the groundbreaking management simulation of the first installment.",221,"Stars:
Jeff Goldblum, 
Bryce Dallas Howard, 
BD Wong, 
Osy Ikhile",7.8
NBA 2K22,"
Sport            ",2021,"Director:
Christian Papierniak","
The new instalment of the famous NBA 2K series, a basketball simulation game.",220,"Stars:
Tyler Antonius, 
Rinabeth Apostol, 
Deric Augustine, 
Sheldon Bailey",5.6
The Legend of Zelda: Skyward Sword HD,"
Action, Adventure, Fantasy            ",2021,"Director:
Daiki Iwamoto","
HD Remaster of Zeruda no densetsu: Sukaiwôdo sôdo (2011), that offers both motion controls and button controls. It also runs at 60 frames per second.",220,None,8.1
Mario Party Superstars,"",2021,"Director:
Takeru Sugimoto","
The Mario Party series is back with a superstar collection of classic gameboards and minigames. Turn the tables on friends and family in wild games that can change with the roll of the dice...                See full summary »
",213,"Stars:
Charles Martinet, 
Samantha Kelly, 
Deanna Mustard, 
Laura Faye Smith",7.9
The Forgotten City,"
Adventure, Drama, Fantasy            ",2021,"Director:
Nick James Pearce","
Discover the ruins of an ancient underground city, travel 2000 years into the past, and unravel the mystery of who destroyed it by cleverly exploiting the power to wind back time.",210,"Stars:
Joe Cliff Thompson, 
Dennis Kleinman, 
Andrew Golder, 
Heather Tracy",7.9
ARK: Genesis - Part 2,"
Action, Adventure, Comedy            ",2021,"Directors:
Jesse Rapczak, 
Jeremy Stieglitz","
ARK: Genesis Part 2 introduces a vast contiguous world filled with strange new biomes, story missions, and exotic creatures! The final confrontation between the spritely HLN-A and the ...                See full summary »
",205,"Stars:
Vin Diesel, 
Camila Fitzgibbon, 
Madeleine Madden, 
David Tennant",3
God of War: Ragnarök,"
Action, Adventure, Drama            ",2022,"Director:
Eric Williams","
Kratos and his son Atreus face the oncoming Norse apocalypse, Ragnarok.",9314,"Stars:
Christopher Judge, 
Sunny Suljic, 
Danielle Bisutti, 
Robert Craighead",9.7
Elden Ring,"
Action, Adventure, Fantasy            ",2022,"Directors:
Hidetaka Miyazaki, 
Yui Tanimura","
In a dark fantasy world created by Hidetaka Miyazaki (Dark Souls) and George R. R. Martin (A Song of Ice and Fire), the player is a Tarnished who is called back to the Lands Between to restore the Elden Ring and become the Elden Lord.",5844,"Stars:
Martha Mackintosh, 
Anthony Howell, 
Con O'Neill, 
Ramon Tikaram",9.4
Horizon: Forbidden West,"
Action, Adventure, Sci-Fi            ",2022,"Director:
Mathijs de Jonge","
Aloy treks into an arcane region and faces new hostile enemies and threats in search of a way to heal the world from a deadly blight and catastrophic storms.",3876,"Stars:
Ashly Burch, 
John Macmillan, 
Lesley Ewen, 
Lance Reddick",9.1
The Quarry,"
Animation, Horror            ",2022,"Director:
Will Byles","
When the sun goes down on the last night of summer camp, nine teenage counselors are plunged into an unpredictable night of horror.",3011,"Stars:
Siobhan Williams, 
Skyler Gisondo, 
Ted Raimi, 
Grace Zabriskie",8.1
Stray,"
Adventure, Sci-Fi            ",2022,"Directors:
Colas Koola, 
Vivien Mermet-Guyenet","
Lost and separated from family, a stray cat must untangle an ancient mystery to escape a long-forgotten city with the help from a small flying drone.",2253,"Star:
Louis Garrel",8.4
Lego Star Wars: The Skywalker Saga,"
Action, Adventure, Comedy            ",2022,"Director:
James McLoughlin","
Play through all nine Star Wars films in a LEGO Game of epic proportions.",1943,"Stars:
A.J. LoCascio, 
Adam Diggle, 
Adam Howden, 
Adrian Edmondson",8.9
The Last of Us: Part I,"
Action, Adventure, Drama            ",2022,"Directors:
Matthew Gallant, 
Bruce Straley","
Experience the emotional storytelling and unforgettable characters in The Last of Us, winner of over 200 Game of the Year awards, now rebuilt from the ground up for the PlayStation 5 console.",1813,"Stars:
Ashley Johnson, 
Troy Baker, 
Hana Hayes, 
Jeffrey Pierce",9.8
Call of Duty: Modern Warfare II,"
Action, Adventure, Crime            ",2022,"Director:
Jeffrey Keith Negus","
A sequel to 2019's modern warfare",1373,"Stars:
Alain Mesa, 
Barry Sloane, 
Ramon Fernandez, 
Claudia Doumit",8
Dying Light 2: Stay Human,"
Action, Adventure, Horror            ",2022,"Directors:
Marc Albinet, 
Adrian Ciszewski, 
Thomas Mitchells","
Fifteen years after the virus in Harran, the infected world is plunged into a modern dark age, where players deal with bandits and factions during the day and the infected at night.",1240,"Stars:
Jonah Scott, 
Rosario Dawson, 
Jonathan Forbes, 
David Belle",7.8
A Plague Tale: Requiem,"
Action, Adventure, Drama            ",2022,"Director:
Kevin Choteau","
After escaping their devastated homeland, Amicia and Hugo travel far south. There, they attempt to start a new life and control Hugo's curse. But, when Hugo's powers reawaken, death and destruction return in a flood of devouring rats.",915,"Stars:
Robyn Wolf, 
Chloe Louis, 
Tom Hudson, 
Giorgia Sinicorni",8.6
The Callisto Protocol,"
Action, Horror, Sci-Fi            ",2022,"Director:
Glen A. Schofield","
A crashed cargo pilot struggles to survive against horrific mutating prisoners on Jupiters moon.",779,"Stars:
Josh Duhamel, 
Karen Fukuhara, 
Zeke Alton, 
James Mathis III",7.4
High on Life,"
Action, Adventure, Comedy            ",2022,None,"
Humanity is being threatened by an alien cartel who wants to use them as drugs. It's up to you to rescue and partner with charismatic, talking guns, take down Garmantuous and his gang, and save the world.",667,"Stars:
Justin Roiland, 
J.B. Smoove, 
Betsy Sodaro, 
Tim Robinson",8
